,0,1,2
215,Ecoland Restaurant,59.491239,24.879201
216,China Red,59.5069257,24.825087
217,Ecolandi restoran,59.4912522,24.8787978
218,Neste,59.50469,24.829405
219,Burger Kitchen,59.5064191,24.8318089
220,Viimsi Pizzakiosk,59.5064191,24.8318089
221,Maardu Rimi mini,59.484195,25.017259
222,Viimsi Rimi hyper,59.505616,24.828235
223,Jussikas,59.49852860000001,24.8298998
224,Hesburger,59.5047597,24.8275496
225,Chi,59.50480259999999,24.8274975
226,Sushi Plaza Viimsi,59.5046741,24.8270454
227,OKO Resto Haabneemes,59.5110703,24.8154197
228,NOA Restaurant,59.4949142,24.8266289
229,Sillburger Vana-Narva mnt,59.4616,24.9173731
230,Maardu Rimi mini,59.484195,25.017259
231,Peetri Pizza,59.4733812,25.0191903
232,Ruhe Restaurant,59.53081599999999,25.1609552
233,Veer - Kitchen & Bar,59.50579790000002,25.0882228
234,Sky Sushi OÜ,59.4878454,25.0199629
235,Hesburger,59.4873402,25.0186412
236,Little Japan Sushi,59.4868572,25.0194586
237,Fortuna Stardi 2 Maardu,59.47657700000001,25.017305
238,Söökla,59.47350269999999,25.0138511
239,Maardu Grill,59.4726296,25.0195584
240,LaFerma,59.4696572,24.9307415
241,Novell,59.47469859999999,24.9161996
242,EKE SÖÖKLA,59.4537244,24.9588487
243,Cafe 26,59.45474720000001,24.9532304
244,Villa Mary Boutique Hotel,59.5564995,24.7931386
245,Villa Mary Boutique Hotel,59.5564995,24.7931386
246,Prangli Saare-Resto,59.633456,25.01852899999999
247,Prangli Saare-Resto,59.633456,25.01852899999999
