211,Hawaii Express Viimsi kauplus,59.5066169,24.8311562
212,Boatworld Ltd.,59.50129330000000,24.816912
213,Maardu Rimi mini,59.484195,25.017259
214,Protyre,59.46213110000000,24.9638013
215,Albatros Textile Viimsi kardinasalong,59.50590200000000,24.8303181
216,MiroModo OÜ,59.50502950000000,24.8310545
217,Maxima X,59.5049897,24.8296905
218,R-Kiosk Maardu,59.4827334,25.0171446
219,Benu apteek,59.51012120000000,24.8254428
220,Aalux Rehvid,59.5550917,24.7948672
221,Rohuneeme A ja O,59.5506186,24.795534
222,Macea Oy Eesti filiaal,59.56001020000000,24.7963374
223,Aalux Rehvid,59.5550917,24.7948672
224,Rohuneeme A ja O,59.5506186,24.795534
225,Premium Horse,59.54538220000000,24.8836442
226,Multipipe OÜ,59.5421447,24.8058974
227,Macea Oy Eesti filiaal,59.56001020000000,24.7963374
228,Prangli Pood,59.6280024,25.0122683
229,Premium Horse,59.54538220000000,24.8836442
230,Prangli Pood,59.6280024,25.0122683
231,Prangli Pood,59.6280024,25.0122683
232,Prangli Pood,59.6280024,25.0122683
