,0,1,2
215,Maarjamäe Kommunismiohvrite Memoriaal,59.4566501,24.8137212
216,Park,59.48591090000001,25.023398
217,Japanese Garden in Kadriorg Park,59.4419347,24.7992996
218,RL Kivitalu OÜ,59.3522579,24.9151106
219,Tallinn Botanic Garden,59.4698307,24.878362
220,Maidla Lilled OÜ,59.4986173,24.8316536
221,Juhani Puukool - Viimsi Istikuäri,59.49832669999999,24.8279489
222,Iru Saun,59.45663259999999,24.9097181
223,Park,59.4338461,24.9450303
224,Park,59.43207769999999,24.9512703
225,Seli mets,59.44455749999999,24.8931286
226,Park Lasnamäe,59.4481779,24.8807609
227,LINSPA OU,59.4278,24.870468
228,Priisle kogukonnaaed,59.4518105,24.8833036
229,Moskva pst,59.444708,24.8728981
230,vaba Isamaa auks,59.3898003,24.9397724
231,Kivila Park,59.44695830000001,24.8682652
232,Kloostrimetsa soo õpperada,59.466743,24.8889535
233,Pirita Jõe Ürgorg,59.46188060000001,24.8713376
234,Tondiraba Park,59.4459953,24.851931
235,Парковый променад,59.44659309999999,24.8473884
236,Konvoi 73 memoriaal,59.47056540000001,24.8666221
237,Tallinn City Camping,59.44841820000001,24.8083111
238,Laagna aed,59.4419071,24.83131809999999
239,Koorti pereväljak 30,59.4423576,24.8260948
240,Uuetoa Talu,59.3847937,24.8612565
241,Hansumäe giant boulders,59.4905175,24.9386587
242,Pae aed,59.4318373,24.8085983
243,Pirita mets,59.46989860000001,24.8328934
244,Koerte jalutusplata,59.48675249999999,25.0170175
245,Kommunismiohvrite memoriaal ja ohvitseride mälestusmärk,59.45657000000001,24.8138918
246,Pae park,59.43325669999999,24.8030845
247,Memorial to the Victims of Communism,59.4566269,24.8131935
248,Maarjamäe kommunismiohvrite mälestusmärk,59.4567022,24.8129205
249,Eesti Kommunismiohvrite Memoriaal,59.45566470000001,24.8110189
250,Eesti Kommunismiohvrite memoriaal (The Memorial to Estonia’s Victims of Communism),59.45714279999999,24.8116646
251,Kallavere suur park,59.4720355,25.0218815
252,Kallavere koerte jalutusplats,59.4753158,25.0254162
253,Park,59.48591090000001,25.023398
254,Iru Saun,59.45663259999999,24.9097181
255,Park,59.43207769999999,24.9512703
256,Park,59.4338461,24.9450303
257,Rebala matkarada,59.4402,25.1345
258,Kurgla tiikide õppe-matkarada,59.3824194,25.0657724
259,Koerte jalutusplata,59.48675249999999,25.0170175
260,Kiia Järv,59.39610359999999,25.1414361
261,Jumalalaegas MTÜ,59.3705343,25.0816425
262,vaba Isamaa auks,59.3898003,24.9397724
263,Seli mets,59.44455749999999,24.8931286
264,Raasiku valla matkarada,59.35567919999999,25.0830667
265,Hansumäe giant boulders,59.4905175,24.9386587
266,Priisle kogukonnaaed,59.4518105,24.8833036
267,Park Lasnamäe,59.4481779,24.8807609
268,Kloostrimetsa soo õpperada,59.466743,24.8889535
269,Moskva pst,59.444708,24.8728981
270,LINSPA OU,59.4278,24.870468
271,Kivila Park,59.44695830000001,24.8682652
272,Kostivere maastikukaitseala,59.4340743,25.109537
273,Püümetsa hoiuala,59.40755799999999,25.0999143
274,Ülgase Nature Reserve,59.4857597,25.0941305
275,Pirita jõe hoiuala,59.441541,24.9170915
276,Ülgase-Saviranna hoiuala,59.5007625,25.060349
277,Jägala jõe hoiuala,59.46408409999999,25.1640843
278,J.Raeda selektsiooniaed,59.38293879999999,24.894668
279,Jaan Raeda selektsiooniaed,59.3807458,24.8964721
280,Ligter Ltd.,59.4121237,25.2459897
281,Kallavere suur park,59.4720355,25.0218815
282,Kallavere koerte jalutusplats,59.4753158,25.0254162
283,Park,59.48591090000001,25.023398
284,Rebala matkarada,59.4402,25.1345
285,Kiia Järv,59.39610359999999,25.1414361
286,Kurgla tiikide õppe-matkarada,59.3824194,25.0657724
287,Jumalalaegas MTÜ,59.3705343,25.0816425
288,Raasiku valla matkarada,59.35567919999999,25.0830667
289,Koerte jalutusplata,59.48675249999999,25.0170175
290,Ubari Loodustarkuse Keskus,59.48732939999999,25.2675776
291,Kostivere maastikukaitseala,59.4340743,25.109537
292,Jägala jõe hoiuala,59.46408409999999,25.1640843
293,Püümetsa hoiuala,59.40755799999999,25.0999143
294,Pärnamäe hiis,59.4085827,25.22218729999999
295,Ülgase Nature Reserve,59.4857597,25.0941305
296,Kaberla hoiuala,59.47124609999999,25.28826
297,Ülgase-Saviranna hoiuala,59.5007625,25.060349
298,Anija looduskaitseala,59.3714277,25.2789367
299,Ligter Ltd.,59.4121237,25.2459897
300,Rebala matkarada,59.4402,25.1345
301,Ubari Loodustarkuse Keskus,59.48732939999999,25.2675776
302,Kiia Järv,59.39610359999999,25.1414361
303,Jaanukse Kultusekivi,59.47238220000001,25.3665308
304,Pärnamäe hiis,59.4085827,25.22218729999999
305,Jägala jõe hoiuala,59.46408409999999,25.1640843
306,Kaberla hoiuala,59.47124609999999,25.28826
307,Kostivere maastikukaitseala,59.4340743,25.109537
308,Anija looduskaitseala,59.3714277,25.2789367
309,Anija park,59.37963899999999,25.3043955
310,Ubari maastikukaitseala,59.49096189999999,25.2936168
311,Püümetsa hoiuala,59.40755799999999,25.0999143
312,Valkla klindi hoiuala,59.4787128,25.35884039999999
313,Ülgase Nature Reserve,59.4857597,25.0941305
314,Kolga lahe hoiuala,59.52026739999999,25.36451319999999
315,"Kolga lahe MKA, Rohusi sihtkaitsevöönd",59.5180376,25.3156408
316,Ligter Ltd.,59.4121237,25.2459897
317,Pedassaare loodusrada,59.5122672,25.372978
318,Jaanukse Kultusekivi,59.47238220000001,25.3665308
319,Ubari Loodustarkuse Keskus,59.48732939999999,25.2675776
320,Pedassaare matkaonn,59.51416150000001,25.3801726
321,Andineeme puhkekeskus,59.4945,25.4539001
322,Žanna Botvinkina ausammas,59.3420027,25.3350926
323,Rehatse maastikukaitseala,59.4200068,25.4385306
324,Valkla klindi hoiuala,59.4787128,25.35884039999999
325,Kaberla hoiuala,59.47124609999999,25.28826
326,Anija park,59.37963899999999,25.3043955
327,Ubari maastikukaitseala,59.49096189999999,25.2936168
328,Võnsi pine forest,59.4653174,25.4377131
329,Anija looduskaitseala,59.3714277,25.2789367
330,Pärnamäe hiis,59.4085827,25.22218729999999
331,Kolga lahe hoiuala,59.52026739999999,25.36451319999999
332,Matsi dendraarium,59.3486922,25.3356336
333,"Kolga lahe MKA, Rohusi sihtkaitsevöönd",59.5180376,25.3156408
334,Jägala jõe hoiuala,59.46408409999999,25.1640843
335,Pedassaare loodusrada,59.5122672,25.372978
336,Jaanukse Kultusekivi,59.47238220000001,25.3665308
337,Linajärv,59.4130013,25.5515391
338,Andineeme puhkekeskus,59.4945,25.4539001
339,Pedassaare matkaonn,59.51416150000001,25.3801726
340,Rehatse maastikukaitseala,59.4200068,25.4385306
341,Võnsi pine forest,59.4653174,25.4377131
342,Valkla klindi hoiuala,59.4787128,25.35884039999999
343,Kolga lahe hoiuala,59.52026739999999,25.36451319999999
344,"Põhja-Kõrvemaa LKA, Kivijärve sihtkaitsevöönd",59.37589060000001,25.6051429
345,Hiiesalu,59.49042919999999,25.5486592
346,Ubari maastikukaitseala,59.49096189999999,25.2936168
347,Anija park,59.37963899999999,25.3043955
348,Kaberla hoiuala,59.47124609999999,25.28826
349,Paukjärve loodusrada,59.38959999999999,25.6800999
350,Tsitre puuderada,59.51690000000001,25.5161
351,Liiapeksi-Aegviidu matkarada,59.4607535,25.64276
352,Viru bog,59.4707697,25.6371589
353,Paukjärve matkarada,59.39839999999999,25.6859
354,Linajärv,59.4130013,25.5515391
355,Viru moerasi,59.4728872,25.63617
356,Kolga matkarada,59.49317929999999,25.6018651
357,Andineeme puhkekeskus,59.4945,25.4539001
358,Ihna mägi,59.516869,25.499718
359,Põhja-Kõrvemaa Nature Reserve,59.3770381,25.6877414
360,Rehatse maastikukaitseala,59.4200068,25.4385306
361,"Põhja-Kõrvemaa LKA, Kivijärve sihtkaitsevöönd",59.37589060000001,25.6051429
362,Hiiesalu,59.49042919999999,25.5486592
363,"Lahemaa RP, Viru raba sihtkaitsevöönd",59.472731,25.6588824
364,Võnsi pine forest,59.4653174,25.4377131
365,Puukujuliste kadakate salu,59.4994577,25.5738197
366,"Lahemaa RP, Muuksi sihtkaitsevöönd",59.50407219999999,25.5508346
